MMSI,IMO,NAME,TYPE,FLAG,GROSS_TONNAGE,DEADWEIGHT,LENGTH,WIDTH,YEAR
215490000,9217333,HIRA V,Chemical/Oil Products Tanker,Malta,4336,6744,114,17,2001
248159000,9391957,ZAPPHIRE,Oil Products Tanker,Malta,27015,47329,183,32,2010
248079000,9367255,ATLANTIS ARKI,Chemical/Oil Products Tanker,Malta,3997,6014,109,16,2008
538007404,9290488,BALTIC BRIDGE,Container Ship,Marshall Islands,83011,93570,300,43,2005
636021036,9665621,THALASSA ELPIDA,Container Ship,Liberia,148667,152344,368,51,2014
636016746,9508641,SYRENA,General Cargo Ship,Liberia,3556,4757,90,15,2010
311065300,9492000,ANGRA DOS REIS,Crude Oil Tanker,Bahamas,62753,105165,245,42,2012
518100677,8918734,LADY KHADIJA,General Cargo Ship,Cook Islands,5602,7177,110,18,1996
636021302,9357107,MSC GEORGIA II,Container Ship,Liberia,22801,30608,204,28,2007
305813000,9409625,WILSON DIEPPE,General Cargo Ship,Antigua & Barbuda,2452,3675,88,13,2010
255806518,9558050,KIMBERLY C,General Cargo Ship,Portugal,4151,6806,106,16,2011
218562000,9427964,PARANA,Vehicles Carrier,Germany,47053,12868,183,32,2012
225365000,9400150,MANUELA E.,General Cargo Ship,Spain,3778,5000,100,14,2007
204708000,9164548,FURNAS,General Cargo Ship,Portugal,4450,5555,101,19,1998
355286000,9765847,STAR SPIRIT,Refrigerated Cargo Ship,Panama,17411,16727,189,26,2017
255806271,9324954,WILHELMINE,Container Ship,Portugal,9957,13760,148,23,2006
247242200,9359583,CANNETO M,Chemical/Oil Products Tanker,Italy,13671,21600,161,23,2008
538005585,9402794,UOG PHOENIX,Oil Products Tanker,Marshall Islands,26916,47367,183,32,2010
259013000,9430985,WILSON NEWPORT,General Cargo Ship,Norway,6118,8321,123,17,2011
250001109,9344538,ARKLOW RAVEN,General Cargo Ship,Ireland,2999,4933,90,14,2007
275467000,9556818,FEHN COURAGE,General Cargo Ship,Latvia,1905,2610,88,11,2010
374130000,9280122,GUNDEM SERRA,General Cargo Ship,Panama,2995,6029,95,17,2004
245315000,9180839,MOEZELBORG,General Cargo Ship,Netherlands,6540,9200,135,17,1999
352001737,9336660,MANTA SALACAK,LPG Tanker,Panama,25937,29536,180,29,2007
257077480,9017393,WILSON SKY,General Cargo Ship,Norway,3037,4263,90,15,2001
247597000,9188415,ENRICO IEVOLI,Chemical/Oil Products Tanker,Italy,9893,16631,138,20,2000
374634000,9116644,JUPITER 1,Bulk Carrier,Panama,27763,49052,190,32,1995
355253000,9130236,TC GRACE,General Cargo Ship,Panama,2810,4629,90,13,1997
304462000,9173173,RHODANUS,General Cargo Ship,Antigua & Barbuda,2061,2953,89,12,1998
538008198,9297345,ALBA,Crude Oil Tanker,Marshall Islands,63598,113782,251,44,2005
375736000,9195561,MINSTREL,General Cargo Ship,St Vincent & Grenadines,1552,1863,82,11,2005
538003804,9303560,NFE GRAND,LNG Tanker,Marshall Islands,97491,84894,277,43,2005
247346000,9148582,LIA IEVOLI,Chemical/Oil Products Tanker,Italy,6695,9978,131,19,1999
310823000,9232565,LIVERPOOL EXPRESS,Container Ship,Bermuda,46009,54155,281,32,2002
232029038,9864215,ZENITH LUMOS,Container Ship,United Kingdom,149525,157097,366,51,2020
255804690,9566306,SCALI DEL PONTINO,LPG Tanker,Portugal,3430,3811,88,15,2011
441133000,9674177,GLOVIS SUPREME,Vehicles Carrier,Korea,64650,20138,200,35,2013
370711000,9839301,MSC SIXIN,Container Ship,Panama,228741,224983,400,61,2019
636016492,9147071,MSC SAO PAULO,Container Ship,Liberia,53324,63537,294,32,1998
314558000,9504267,OBIRIX,General Cargo Ship,Barbados,6478,7966,116,18,2008
538003946,9441324,IBIS BULKER,Bulk Carrier,Marshall Islands,33064,57775,190,32,2010
563074500,9064085,LERICI,LNG Tanker,Singapore,46555,35760,216,34,1998
249512000,9388704,CHEM EAGLE,Chemical/Oil Products Tanker,Malta,17822,25421,170,26,2008
304676000,9294977,NOVA,General Cargo Ship,Antigua & Barbuda,7767,10649,146,18,2004
305896000,9483358,CONMAR AVENUE,Container Ship,Antigua & Barbuda,10585,12878,152,23,2012
255805577,9369007,ELBSTROM,Container Ship,Portugal,8273,11051,140,22,2008
636018113,9592288,INDIGO SUN,Crude Oil Tanker,Liberia,61320,115724,250,44,2012
256601000,9328651,X-PRESS VESUVIO,Container Ship,Malta,6454,8505,134,20,2005
248406000,9440095,NEPTUNE ODYSSEY,Vehicles Carrier,Malta,36902,11418,170,28,2010
247383500,9859557,ECO LIVORNO,Ro-Ro Cargo Ship,Italy,67311,18139,238,34,2021
636020264,9168207,MAERSK PALERMO,Container Ship,Liberia,31333,38250,210,32,1998
247069600,9250086,LUCA IEVOLI,Chemical/Oil Products Tanker,Italy,3696,5207,100,15,2002
215683000,9461922,MED SERHAT,Chemical/Oil Products Tanker,Malta,5633,8268,120,17,2020
538004911,9635664,MARY,Container Ship,Marshall Islands,71021,80274,270,43,2013
538005036,9492361,THE CHIEF,Bitumen Tanker,Marshall Islands,10866,14953,133,23,2013
255805250,9272761,LIESEL ESSBERGER,Chemical/Oil Products Tanker,Portugal,5955,8571,118,19,2004
255805610,9337028,NORDIC ANNA,Container Ship,Portugal,23633,27244,191,29,2007
371827000,9352157,MEHMET DADAYLI-1,General Cargo Ship,Panama,2980,4798,91,15,2006
209850000,9355422,ANDROMEDA J,Container Ship,Cyprus,8273,11052,140,22,2006
636021875,9399557,PANAMAX OSTRIA,Bulk Carrier,Liberia,41115,76444,225,32,2008
255805902,9413456,KRIENS,General Cargo Ship,Portugal,4968,7802,119,15,2007
229115000,9376892,CMA CGM NOUADHIBOU,Container Ship,Malta,16162,16509,161,25,2007
636014491,9413676,DIGNITY,Chemical/Oil Products Tanker,Liberia,30235,50392,183,32,2010
636020519,9557135,ROTTERDAM PEARL,Bulk Carrier,Liberia,32839,58020,190,32,2010
636019321,9767027,CL SUZHOU,Bulk Carrier,Liberia,44109,81064,229,32,2019
215966000,9859131,CMA CGM IGUACU,Container Ship,Malta,150844,154700,366,51,2021
255806026,9486312,SIDER VULCANO,Self Discharging Bulk Carrier,Portugal,5587,8108,120,17,2010
255804270,9566291,SCALI REALI,LPG Tanker,Portugal,3430,3804,88,15,2010
247156500,9333474,DATTILO M,Chemical/Oil Products Tanker,Italy,13693,21600,161,23,2006
247019600,9220627,GRANDE ELLADE,Vehicles Carrier,Italy,52485,18885,182,32,2001
235061987,9416331,TINA C,General Cargo Ship,United Kingdom,3391,5664,100,15,2008
247256400,9373137,KORSARO,Chemical/Oil Products Tanker,Italy,17644,25997,170,25,2008
566167000,9722027,VIPHA NAREE,Bulk Carrier,Singapore,24235,38851,182,30,2015
255806013,9150420,INSULAR,General Cargo Ship,Portugal,5599,6700,120,20,1998
311058600,9496264,MAMRY,Bulk Carrier,Bahamas,20603,30206,190,24,2012
305576000,9412531,ELBSKY,Container Ship,Antigua & Barbuda,11550,14800,141,24,2011
255806042,9421178,BREB COURAGEOUS,General Cargo Ship,Portugal,5630,7801,108,19,2009
352001593,9947225,NAVIOS PRIMAVERA,Bulk Carrier,Panama,44175,82000,-,-,2022
210163000,9287704,RS LISA,Container Ship,Cyprus,7519,8707,138,22,2003
249702000,9508108,ATLANTIS ANTIBES,Chemical/Oil Products Tanker,Malta,4028,5659,106,17,2009
218549000,9708382,WIKING,Container Ship,Germany,48385,62238,255,37,2016
215421000,9226516,CINZIA A,Container Ship,Malta,25535,33894,200,30,2001
255806424,9764491,STOLT MAPLE,Chemical/Oil Products Tanker,Portugal,23124,32825,185,28,2017
636018116,9424807,SELECTA,General Cargo Ship,Luxembourg,9294,14030,146,20,2007
636021322,9244180,ELBE,Container Ship,Liberia,6191,7992,133,19,2001
215234000,9551806,YM MARS,Chemical/Oil Products Tanker,Malta,4242,6472,109,17,2011
247273000,9138410,REPUBBLICA ARGENTINA,Vehicles Carrier,Italy,51925,23882,209,30,1998
244810323,9638769,ARKLOW BANK,General Cargo Ship,Netherlands,5065,8565,119,15,2014
249209000,9393395,TOMMASO S,Chemical/Oil Products Tanker,Malta,5744,8110,115,18,2009
215179000,9226504,TEOMAN A,Container Ship,Malta,25535,33917,200,30,2001
255806301,9428205,REBECCA S,Container Ship,Portugal,7584,8199,130,21,2007
636017210,9226700,PANTHERA J,General Cargo Ship,Liberia,6274,7072,118,20,2001
209616000,9612791,NILEDUTCH ANTWERPEN,Container Ship,Cyprus,39106,48044,224,35,2015
247056200,9227924,GRANDE SPAGNA,Vehicles Carrier,Italy,37726,12594,176,31,2002
263702340,9630884,SACOR II,Oil Products Tanker,Portugal,1615,2500,74,14,2012
314632000,9390135,WILSON DURNESS,General Cargo Ship,Barbados,2452,3689,88,13,2008
247039300,9227912,GRANDE ITALIA,Vehicles Carrier,Italy,37726,12594,176,31,2001
229452000,9620607,MERKUR FJORD,Container Ship,Malta,42564,52068,228,37,2013
256649000,9127459,ALLEGRI,Container Ship,Malta,15120,19353,169,27,1997
255806310,9429211,CHRISTINA,Container Ship,Portugal,9983,12254,141,24,2010
247293100,8300951,OLD WINE,Chemical Tanker,Italy,2137,3407,91,14,1984
275488000,9234410,MOONRAY,General Cargo Ship,Latvia,1599,2300,88,11,2001
565544000,9558971,CHEMICAL MARINER,Chemical/Oil Products Tanker,Singapore,8259,14301,134,21,2010
356432000,9839454,MSC LENI,Container Ship,Panama,232618,228149,400,62,2019
309807000,9195664,FRI LAKE,General Cargo Ship,Bahamas,2218,3653,89,12,1999
246432000,9190212,MANISA KRISTIN,General Cargo Ship,Netherlands,6142,9100,130,16,2000
538006765,9263916,KIBAZ,Oil Products Tanker,Marshall Islands,28517,47094,183,32,2004
370785000,9423504,CAPTAIN ANDREADIS,Bulk Carrier,Panama,32415,58760,190,32,2008
256010000,9442122,NEPTUNE KALLOS,Vehicles Carrier,Malta,36711,11215,168,28,2010
354712000,9290282,MSC RACHELE,Container Ship,Panama,90745,101874,334,43,2005
228057000,9207390,MN COLIBRI,Ro-Ro Cargo Ship,France,9141,4171,116,20,2000
215744000,9798088,HELLAS CALAFIA,Chemical/Oil Products Tanker,Malta,29450,49810,183,32,2018
566042000,9517939,STAR LEADER,Refrigerated Cargo Ship,Singapore,14022,12944,163,26,2010
565967000,9401697,MAERSK VIGO,Container Ship,Singapore,18326,23327,175,28,2010
215045000,9871012,CASTILLO DE ARTEAGA,Chemical/Oil Products Tanker,Malta,23420,37430,177,29,2019
370545000,7325461,DURA BULK,General Cargo Ship,Panama,2239,3007,89,13,1973
538006470,9671072,FEDERAL CLYDE,Bulk Carrier,Marshall Islands,20789,34564,200,24,2016
250006306,9851983,ARKLOW ARTIST,General Cargo Ship,Ireland,5078,8543,120,15,2021
215587000,9440083,NEPTUNE ITHAKI,Vehicles Carrier,Malta,36902,11010,170,28,2010
256077000,9464326,PORTARIA,Chemical/Oil Products Tanker,Malta,23373,36686,184,27,2010
538005064,9212010,RACHEL BORCHARD,Container Ship,Marshall Islands,14278,15317,159,26,2000
371853000,8715871,MSC PILAR,Container Ship,Panama,52181,60350,294,32,1990
563070900,9838242,STI LILY,Crude Oil Tanker,Singapore,63338,109994,250,44,2019
538008709,9427380,BOLTEN SYMI,General Cargo Ship,Marshall Islands,15861,25953,157,27,2009
249502000,9312406,ALICE N,Chemical/Oil Products Tanker,Malta,5551,8907,116,19,2004
373004000,9467433,MSC FLAVIA,Container Ship,Panama,140096,154792,366,48,2012
271047982,9201774,DARMIK,Chemical/Oil Products Tanker,Turkey,5006,7071,121,16,2000
538005847,9732345,AFIF,Container Ship,Marshall Islands,153148,149360,368,51,2017
229596000,9461594,CMA CGM MURCIA,Container Ship,Malta,10585,13172,152,23,2008
538007952,9828948,ARCHON,Bulk Carrier,Marshall Islands,44132,82084,229,32,2018
235075591,9523940,KATHY C,General Cargo Ship,United Kingdom,4151,6902,106,16,2010
538008694,9673824,NEFELI.GR,Bulk Carrier,Marshall Islands,43291,81056,229,32,2014
247116600,9287417,GRANDE ANVERSA,Vehicles Carrier,Italy,38671,12420,176,31,2004
255804250,9388390,FUNCHALENSE 5,Container Ship,Portugal,7580,8729,127,20,2009
209075000,9277278,NINA,General Cargo Ship,Cyprus,3289,5751,105,14,2003
538007556,9458987,GOLDEN AMBER,Bulk Carrier,Marshall Islands,41586,74753,225,32,2017
209056000,9448671,BEATRIZ B,Container Ship,Cyprus,12514,14230,158,24,2011
636017003,9597795,TINOS,Bulk Carrier,Liberia,44102,81391,229,32,2011
636017034,9762895,TRAMMO INDEPENDENT,Bulk Carrier,Liberia,25611,38800,180,33,2016
256442000,9344174,ANDREA D,Chemical/Oil Products Tanker,Malta,5303,8824,115,18,2006
305755000,9571387,BBC PARANA,General Cargo Ship,Antigua & Barbuda,12980,16953,143,23,2012
308038000,9318486,CORAL LEADER,Vehicles Carrier,Bahamas,40986,12164,176,31,2006
636020515,9351098,MAX,General Cargo Ship,Liberia,7532,8723,127,20,2006
244271000,9195767,BEAUMOTION,General Cargo Ship,Netherlands,2545,3836,89,13,2003
636017523,9426049,ZEUS,Bulk Carrier,Liberia,51255,93200,229,38,2010
249421000,9413652,HITRA,Chemical/Oil Products Tanker,Malta,3997,6091,109,16,2009
636021739,9389382,ZIM CHINA,Container Ship,Liberia,40487,51733,261,32,2008
352898711,9330264,MSC LEVANTE F,Container Ship,Panama,9957,13633,148,23,2006
538008756,9443580,SYNERGY ANTWERP,Container Ship,Marshall Islands,40030,50727,260,32,2008
244575000,9341720,MAASBORG,General Cargo Ship,Netherlands,3990,6000,111,15,2005
219225000,9356139,MAERSK NORFOLK,Container Ship,Denmark,25888,35205,210,30,2008
229142000,9385532,DIANE A,Container Ship,Malta,17687,21986,184,25,2008
215194000,9462304,MED BALTIC,Chemical/Oil Products Tanker,Malta,5651,8280,124,17,2011
538008247,9467550,ORIENT TIDE,Bulk Carrier,Marshall Islands,23426,33755,180,30,2010
636017855,9737618,CAPTAIN ADAMS,Bulk Carrier,Liberia,44127,82018,229,32,2017
245472000,9198630,ANTJE K.,General Cargo Ship,Netherlands,3037,4247,90,15,2002
565961000,9394208,NASHWAN,LPG Tanker,Singapore,16804,16922,154,26,2008
209177000,9237371,WEC VERMEER,Container Ship,Cyprus,9981,11391,134,23,2001
477629200,9890628,CL ZHUANG HE,Bulk Carrier,Hong Kong,35812,63500,200,32,2020
224365000,9280134,GUANARTEME,Oil Products Tanker,Spain,2815,4222,97,14,2004
253778000,9433365,ANNE,General Cargo Ship,Luxembourg,4723,7594,116,16,2010
352001310,9381407,AIKATERINI K,General Cargo Ship,Panama,5599,7739,108,18,2008
636015849,9491240,MYKONOS SEAS,Bulk Carrier,Liberia,33044,56840,190,32,2011
212906000,9313228,BALTIC SHEARWATER,Container Ship,Cyprus,16324,15955,169,27,2005
205724000,9252929,MARIE,General Cargo Ship,Belgium,2061,2974,88,11,2002
563090100,9851610,CRYSTAL LAVENDER,LPG Tanker,Singapore,4324,4920,100,17,2019
247601000,9164770,CALA PALMA,Refrigerated Cargo Ship,Italy,14868,16024,190,24,2000
210253000,9856799,ALVANITH,Chemical/Oil Products Tanker,Cyprus,4997,7356,118,17,2021
209217000,9684110,OTELLO,Chemical/Oil Products Tanker,Cyprus,4696,6565,105,17,2014
247383600,9859569,ECO SAVONA,Ro-Ro Cargo Ship,Italy,67311,18097,238,34,2021
255805600,9144720,BARBARA P,Container Ship,Portugal,9991,12950,139,24,1997
256391000,9694359,RED GARNET,Chemical/Oil Products Tanker,Malta,29812,49999,183,32,2015
215552000,9458195,HACI FATMA ANA,Chemical/Oil Products Tanker,Malta,5604,8424,123,17,2011
255805802,9326940,WEC CORNEILLE,Container Ship,Portugal,9962,11416,134,23,2005
538008326,9353137,PLUTO,Chemical/Oil Products Tanker,Marshall Islands,23353,37282,184,28,2008
229090000,9641730,MEIN SCHIFF 3,Passenger (Cruise) Ship,Malta,99526,7900,293,42,2014
247387600,9451214,MELIGUNIS M,Chemical/Oil Products Tanker,Italy,7321,11259,130,20,2008
255806312,9558012,KARLA C,General Cargo Ship,Portugal,4151,6795,106,16,2010
255701240,9483683,NIEVES B,Container Ship,Portugal,10318,12906,152,23,2011
314180000,9178460,WILSON CORK,General Cargo Ship,Barbados,2999,4444,100,13,1998
235103736,9136204,CELTIC SPIRIT,General Cargo Ship,United Kingdom,2840,4135,90,14,1996
311073800,9567702,EURO,Crude Oil Tanker,Bahamas,81314,157539,274,48,2012
374607000,9839284,MSC ARINA,Container Ship,Panama,228741,224983,400,61,2019
477552700,9356098,SAFMARINE NILE,Container Ship,Hong Kong,25904,35181,211,30,2008
249509000,9389708,ZIM MONACO,Container Ship,Malta,40030,50775,260,32,2009
249096000,9167942,MERITO,Container Ship,Malta,11925,14332,150,23,1998
538009752,9923205,GENCO MARY,Bulk Carrier,Marshall Islands,34650,61000,200,32,2022
538008472,9376816,SUNNY SKY,Chemical/Oil Products Tanker,Marshall Islands,24066,38431,183,28,2008
256784000,9377030,BOMAR MARS,Chemical/Oil Products Tanker,Malta,3999,6167,107,16,2007
354206000,9004504,ARIA VIBE,General Cargo Ship,Panama,6030,9597,113,19,1992
636013645,9323560,LEON HERMES,Chemical/Oil Products Tanker,Liberia,25400,40165,176,31,2008
244150086,9815317,MONIKA,General Cargo Ship,Netherlands,3415,4938,90,15,2018
533130039,9598268,EAGLE PARANA,Crude Oil Tanker,Malaysia,62912,105048,248,42,2012
563030090,9792515,TRAMMO PARIS,LPG Tanker,Singapore,17242,17667,154,26,2017
538010128,9724568,MAERSK CIRRUS,Chemical/Oil Products Tanker,Denmark,27659,39999,183,32,2017
215253000,9338735,OZDEN-S,Chemical/Oil Products Tanker,Malta,3753,5790,106,17,2006
229625000,9605267,MSC AJACCIO,Container Ship,Malta,95166,112230,300,48,2014
230985000,9354337,AILA,Container Ship,Finland,9131,11497,141,22,2007
538005705,9714757,PHILLIP BAY,Bulk Carrier,Marshall Islands,25546,38683,180,32,2015
256575000,9440148,NEPTUNE HELLAS,Vehicles Carrier,Malta,36711,11174,168,28,2009
356822000,9628568,BUNUN WISDOM,Bulk Carrier,Panama,23264,38168,180,30,2012
351482000,8808707,WINE TRADER,Chemical Tanker,Panama,4297,6259,118,17,1989
255806503,9362669,MANISA CAMILLA,General Cargo Ship,Portugal,5604,8099,108,18,2006
314683000,9199139,HUNTETAL,General Cargo Ship,Antigua & Barbuda,2452,3687,88,13,2003
255806313,9412517,ARA AMSTERDAM,Container Ship,Portugal,11550,14483,141,24,2010
255806290,9277321,SMALAND,General Cargo Ship,Portugal,5057,7707,120,15,2004
255806151,9147734,GISELA ESSBERGER,Chemical/Oil Products Tanker,Portugal,6572,9554,125,20,1998
311000458,9736810,GLOVIS SIGMA,Vehicles Carrier,Bahamas,71177,20900,200,35,2016
477625400,9447902,PARIS EXPRESS,Container Ship,Hong Kong,140259,153514,366,48,2011
356864000,9065443,MSC ROSSELLA,Container Ship,Panama,37398,43605,243,32,1993
538006742,9718404,SILVER ERVILIA,Chemical/Oil Products Tanker,Marshall Islands,29375,49737,183,32,2016
255804840,9394234,SOUSELAS,Bulk Carrier,Portugal,14116,21058,158,23,2007
357363000,8715869,MSC FEDERICA,Container Ship,Panama,52181,60350,294,32,1990
253817000,9385881,VERTOM MERIDIAAN,General Cargo Ship,Luxembourg,5887,8044,128,16,2010
224285000,9414187,ROIBEIRA,General Cargo Ship,Spain,4990,7781,119,15,2007
215589000,9293337,CASTILLO DE TRUJILLO,Oil Products Tanker,Malta,21589,36882,182,25,2004
636091835,9467055,NORTHERN POWER,Container Ship,Liberia,47855,59346,264,32,2010
244140578,9772591,ARKLOW VENUS,General Cargo Ship,Netherlands,2999,5171,87,15,2018
538005399,9686869,STI BRIXTON,Chemical/Oil Products Tanker,Marshall Islands,24230,38734,184,27,2014
244830098,9638795,ARKLOW BEACON,General Cargo Ship,Netherlands,5065,8660,119,15,2014
271049308,9220354,KARLICA,Chemical/Oil Products Tanker,Turkey,8428,12000,136,20,2000
255806136,9515591,RAQUEL S,Container Ship,Portugal,17280,21442,172,28,2009
246846000,9568328,EEBORG,General Cargo Ship,Netherlands,7680,12000,145,16,2012
210283000,9315018,WEC DE HOOGH,Container Ship,Cyprus,11662,13716,149,23,2005
249219000,9567233,THASSOS,Bulk Carrier,Malta,32964,56760,190,32,2011
204709000,9381275,CORVO,General Cargo Ship,Portugal,7064,8893,120,20,2007
253613000,9313711,AYR,General Cargo Ship,Luxembourg,2451,3604,88,13,2009
229610000,9276341,X-PRESS MONTE BIANCO,Container Ship,Malta,6434,8496,134,19,2003
636019711,9539432,ADAPEARL,Bulk Carrier,Liberia,7404,12427,115,20,2011
305493000,9434589,ANMARE,General Cargo Ship,Antigua & Barbuda,2461,3689,88,13,2009
255805994,9240251,TEJO ALGES,General Cargo Ship,Portugal,2999,4247,90,15,2001
255806143,9295529,AVILA,Container Ship,Portugal,9935,12343,141,24,2007
311041700,9263928,TRANS ADRIATIC,Chemical/Oil Products Tanker,Bahamas,6837,12503,123,20,2002
538009490,9327425,WONDER FORMOSA,Chemical/Oil Products Tanker,Marshall Islands,23270,37562,184,27,2006
671336100,7422544,ANAKIN,Livestock Carrier,Togo,2616,3210,91,13,1976
249475000,9433561,EMEK-S,Chemical/Oil Products Tanker,Malta,4816,7051,120,17,2008
352978142,9889112,BLANCO ACE,Vehicles Carrier,Panama,72707,17885,200,38,2021
636092781,9447859,TENO,Container Ship,Liberia,88586,94526,300,46,2011
242754300,9259836,CMA CGM TANGER,Container Ship,Morocco,9966,13702,148,22,2003
225313000,9436252,URA,General Cargo Ship,Spain,5335,7502,119,17,2009
311051200,9452622,RYSY,Bulk Carrier,Bahamas,43506,79602,229,32,2011
232033027,9312705,CELTIC AMBASSADOR,General Cargo Ship,United Kingdom,3870,5699,106,15,2005
356249000,9110377,MSC SAMANTHA,Container Ship,Panama,64054,68363,275,40,1996
249498000,9447055,MANAS,Chemical/Oil Products Tanker,Malta,7260,10744,129,19,2008
566028000,9438482,CS SERVICE,Refrigerated Cargo Ship,Singapore,14284,13073,163,26,2008
477975000,9285017,KANG CHENG,Bulk Carrier,Hong Kong,30963,55541,190,32,2004
