MMSI,IMO,NAME,TYPE,FLAG,GROSS_TONNAGE,DEADWEIGHT,LENGTH,WIDTH,YEAR
255806043,9421166,BREB COUNTESS,General Cargo Ship,Portugal,5630,7811,108,19,2009
277563000,9125669,AMIKO,General Cargo Ship,Lithuania,3821,4766,100,17,1996
255806347,9440588,PENGALIA,Container Ship,Portugal,7545,8267,130,21,2008
636015725,9624445,ORANGE TIARA,Bulk Carrier,Liberia,92758,181396,292,45,2012
244424000,9373321,CLARA K.,General Cargo Ship,Netherlands,3057,4285,90,15,2007
250002903,9649548,ARKLOW SPRAY,Bulk Carrier,Ireland,22868,34919,182,30,2014
236446000,9291561,KEY BAY,Chemical/Oil Products Tanker,Gibraltar,3189,4570,100,15,2004
255805845,9354387,ANDANTE,Container Ship,Portugal,9962,11433,134,23,2007
563106700,9374533,MTM AMAZON,Chemical/Oil Products Tanker,Singapore,19391,33674,170,27,2008
477234800,9780665,DELPHIS RIGA,Container Ship,Hong Kong,25715,24700,178,31,2017
224994000,9428671,BAHIA TRES,Oil Products Tanker,Spain,4969,6920,100,18,2007
255806078,9252541,NORTHERN MAGNUM,Container Ship,Portugal,75590,85832,300,40,2003
538004914,9641235,KATHERINE,Container Ship,Marshall Islands,71021,80295,270,43,2013
548901000,9724037,GION TRADER,Chemical/Oil Products Tanker,Philippines,11729,19883,146,24,2015
277562000,9316103,SONATA,Container Ship,Lithuania,9957,13715,148,23,2006
373517000,9110391,MSC DYMPHNA,Container Ship,Panama,64054,68363,275,40,1996
209467000,9483671,X-PRESS AGILITY,Container Ship,Cyprus,10318,13200,152,23,2010
246061000,9369655,SAGASBANK,General Cargo Ship,Netherlands,2999,4541,90,14,2010
311048200,9453107,RCC PASSION,Vehicles Carrier,Bahamas,36834,11196,168,28,2011
255805640,9566289,SCALI DEL TEATRO,LPG Tanker,Portugal,3430,3824,88,15,2014
538009923,8807155,NEPTUNE AVRA,Vehicles Carrier,Marshall Islands,19220,5797,155,24,1989
538009772,9132741,AL BIDDA,LNG Tanker,Marshall Islands,111124,72462,298,46,1999
244961000,9295440,WILHELMINE ESSBERGER,Chemical/Oil Products Tanker,Netherlands,5815,8657,115,19,2005
271000653,9237149,AKHISAR,Container Ship,Turkey,5886,8081,117,18,2001
244203000,8300389,HAPPY BUCCANEER,General Cargo Ship,Netherlands,16341,13740,146,28,1984
672747000,9207998,AMILCAR,Ro-Ro Cargo Ship,Tunisia,22900,14200,193,26,2000
372161000,9875006,MARIO,Bulk Carrier,Panama,43644,81606,229,32,2020
246795000,9532812,BEAUTRANGA,General Cargo Ship,Netherlands,5425,8273,118,16,2011
229966000,9673630,JOSITA B,Container Ship,Malta,18826,23562,170,28,2014
235007990,9229178,VERITY,General Cargo Ship,Isle of Man,2601,3360,91,14,2001
244198000,9277383,TINA,Container Ship,Netherlands,7519,8634,138,21,2003
250002012,9440253,ARKLOW MARSH,General Cargo Ship,Ireland,9758,14998,137,21,2010
215188000,9240976,NEPTUNE DYNAMIS,Vehicles Carrier,Malta,21611,6850,159,24,2002
371389000,9775177,DORIC SHOGUN,Bulk Carrier,Panama,35823,63347,200,32,2016
249128000,9390331,FENNO SWAN,Chemical/Oil Products Tanker,Malta,3300,4684,100,15,2008
636016303,9117416,LITA,Bulk Carrier,Liberia,11121,18305,148,23,1995
538004502,9349992,ALTAY,Bulk Carrier,Marshall Islands,5222,8184,120,17,2006
248527000,9516246,MICHELLE 1,Bulk Carrier,Malta,5576,8000,116,17,2009
636020902,9232644,MSC NIKOLETA,Container Ship,Liberia,16802,22968,184,25,2002
636020265,9168192,MAERSK PENANG,Container Ship,Liberia,31333,38250,210,32,1998
245060000,9514925,SCHELDEDIJK,General Cargo Ship,Netherlands,2984,4891,90,14,2010
351126000,9409338,PORGY,Vehicles Carrier,Panama,58752,18009,200,32,2009
241657000,9127007,JAGUAR,Container Ship,Greece,12029,14587,157,24,1996
357437000,9550292,MARITIME VICTORY,Bulk Carrier,Panama,17019,28344,169,27,2010
605086090,9845063,DJANET,Container Ship,Algeria,16963,22700,172,24,2020
249126000,9354571,IRENE DP,Chemical/Oil Products Tanker,Malta,5303,8817,115,18,2006
244020335,9772565,ARKLOW VALOUR,General Cargo Ship,Netherlands,2999,5159,87,15,2017
245072000,9421659,EEMS STAR,General Cargo Ship,Netherlands,1862,2650,87,11,2008
403510001,9335068,NCC HAIEL,Chemical/Oil Products Tanker,Saudi Arabia,29575,45953,183,32,2008
636092040,9406829,OPS HAMBURG,Container Ship,Liberia,9957,13748,148,23,2007
310479000,9262235,LNG RIVER NIGER,LNG Tanker,Bermuda,115993,79541,288,48,2006
304134000,9204506,VENTO DI GRECALE,Container Ship,Antigua & Barbuda,8737,9113,133,23,2000
212340000,9413913,MACCOA,Bulk Carrier,Cyprus,19814,30898,185,24,2009
354040000,9420162,MUHSINE K,General Cargo Ship,Panama,2875,4300,89,14,2007
636021055,9243186,ANTIBES EXPRESS,Container Ship,Liberia,40146,40478,243,32,2002
352980798,9397987,AQUAMARINE ACE,Vehicles Carrier,Panama,60143,18772,200,32,2008
250002443,9527685,ARKLOW FOREST,General Cargo Ship,Ireland,2998,4960,90,14,2011
636011280,9185047,UNITED SPIRIT,Vehicles Carrier,Liberia,37949,14067,175,29,2000
247383400,9859545,ECO BARCELONA,Ro-Ro Cargo Ship,Italy,67311,18079,238,34,2021
636093131,9193305,SEOUL EXPRESS,Container Ship,Germany,54465,66971,294,32,2000
636092297,9534298,JOHANN,General Cargo Ship,Liberia,4255,6000,114,14,2012
636091866,9534262,CHRISTINA,General Cargo Ship,Liberia,4255,6050,114,14,2009
