YEAR;MONTH;IMP;VAR_IMP;EXP;VAR_EXP
2014;1;4912;;3920;
2014;2;4645;-5,44;3817;-2,63
2014;3;4750;2,26;3948;3,43
2014;4;4544;-4,34;3887;-1,55
2014;5;5023;10,54;4097;5,40
2014;6;5066;0,86;4192;2,32
2014;7;5454;7,66;4481;6,89
2014;8;4149;-23,93;3239;-27,72
2014;9;5238;26,25;4076;25,84
2014;10;5506;5,12;4631;13,62
2014;11;4937;-10,33;4118;-11,08
2014;12;4754;-3,71;3699;-10,17
2015;1;4421;-7,00;3788;2,41
2015;2;4480;1,33;3973;4,88
2015;3;5315;18,64;4408;10,95
2015;4;5243;-1,35;4258;-3,40
2015;5;5352;2,08;4251;-0,16
2015;6;5411;1,10;4555;7,15
2015;7;5410;-0,02;4696;3,10
2015;8;4213;-22,13;3319;-29,32
2015;9;5216;23,81;4140;24,74
2015;10;5318;1,96;4521;9,20
2015;11;5017;-5,66;4313;-4,60
2015;12;4722;-5,88;3594;-16,67
2016;1;4347;-7,94;3657;1,75
2016;2;4709;8,33;4009;9,63
2016;3;5319;12,95;4219;5,24
2016;4;4891;-8,05;4116;-2,44
2016;5;5171;5,72;4195;1,92
2016;6;5409;4,60;4459;6,29
2016;7;5075;-6,17;4464;0,11
2016;8;4674;-7,90;3463;-22,42
2016;9;5393;15,38;4392;26,83
2016;10;5255;-2,56;4332;-1,37
2016;11;5510;4,85;4660;7,57
2016;12;5489;-0,38;4056;-12,96
2017;1;5348;-2,57;4344;7,10
2017;2;5177;-3,20;4356;0,28
2017;3;6142;18,64;5241;20,32
2017;4;5415;-11,84;4122;-21,35
2017;5;6279;15,96;4873;18,22
2017;6;5792;-7,76;4751;-2,50
2017;7;5743;-0,85;4662;-1,87
2017;8;5271;-8,22;3944;-15,40
2017;9;5873;11,42;4651;17,93
2017;10;6351;8,14;4865;4,60
2017;11;6082;-4,24;5195;6,78
2017;12;5459;-10,24;4055;-21,94
2018;1;5977;9,49;4775;17,76
2018;2;5608;-6,17;4608;-3,50
2018;3;6270;11,80;4948;7,38
2018;4;6132;-2,20;4845;-2,08
2018;5;6327;3,18;5175;6,81
2018;6;6868;8,55;5185;0,19
2018;7;6568;-4,37;5319;2,58
2018;8;5728;-12,79;4042;-24,01
2018;9;5937;3,65;4699;16,25
2018;10;6775;14,11;5134;9,26
2018;11;6895;1,77;4838;-5,77
2018;12;5972;-13,39;4356;-9,96
2019;1;6741;11,8;4958;13,8
2019;2;6194;-8,1;4852;-2,1
2019;3;6798;9,8;5174;6,6
2019;4;6768;-0,4;4988;-3,6
2019;5;7212;6,6;5591;12,1
2019;6;6613;-8,3;4743;-15,2
2019;7;7265;9,9;5401;13,9
2019;8;5448;-25;3825;-29,2
2019;9;6723;23,4;4992;30,5
2019;10;7273;8,2;5574;11,7
2019;11;6928;-4,7;5219;-6,4
2019;12;6016;-13,2;4587;-12,1
2020;1;6611;9,9;5146;12,2
2020;2;6420;-2,9;4876;-5,2
2020;3;6065;-5,5;4509;-7,5
2020;4;4111;-32,2;2926;-35,1
2020;5;4370;6,3;3423;17
2020;6;5152;17,9;4237;23,8
2020;7;5864;13,8;5033;18,8
2020;8;5018;-14,4;3742;-25,7
2020;9;6170;23;5011;33,9
2020;10;6463;4,7;5449;8,7
2020;11;6130;-5,2;5195;-4,7
2020;12;5704;-7;4255;-18,1
2021;1;5548;-2,7;4616;8,5
2021;2;5778;4,1;4987;8
2021;3;7056;22,1;5848;17,3
2021;4;6858;-2,8;5341;-8,7
2021;5;6791;-1;5311;-0,6
2021;6;6762;-0,4;5144;-3,1
2021;7;7133;5,5;5580;8,5
2021;8;6111;-14,3;4358;-21,9
2021;9;7370;20,6;5492;26
2021;10;7587;2,9;5568;1,4
2021;11;8295;9,3;6060;8,8
2021;12;7857;-5,3;5314;-12,3
2022;1;7603;-3,2;5612;5,6
2022;2;8198;7,8;5961;6,2
2022;3;9082;10,8;6060;1,7
2022;4;8665;-4,6;6190;2,1
2022;5;9850;13,7;7466;20,6
2022;6;9588;-2,7;7065;-5,4
2022;7;9214;-3,9;7156;1,3
